ID,Material Name,Category,Unit Cost (USD),Stock Level,Monthly Sales,Avg Lead Time (days),Durability (1-10),Eco-Friendly,Recommended For,Customer Rating (1-5),Image URL,Popular Regions,Seasonality Index,Year,Month
292,Thermal Insulated Box,Bag,1.64,3505,1711.1,9,9,No,Jewelry,3.4,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Latin America,1.29,2048,October
293,Rigid Boxes,Wrap,0.65,320,1181.69,4,10,Yes,"Cosmetics, Toys",3.5,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,0.9,2048,November
294,Jiffy Bag,Envelope,1.2,4016,1256.42,4,7,Yes,"Accessories, Jewelry, Books",4.6,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Australia,0.83,2048,December
295,Honeycomb Paper,Box,1.59,4823,1546.18,5,9,No,"Glassware, Food",4.0,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,UAE,1.07,2049,January
296,Biodegradable Foam,Envelope,1.3,4420,1285.55,12,8,No,"Jewelry, Toys",3.2,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,North America,0.99,2049,February
297,Honeycomb Paper,Box,1.3,821,2235.47,15,8,Yes,Clothing,4.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"North America, UAE",1.47,2049,March
298,Thermal Insulated Box,Bag,0.45,3565,1855.14,2,4,Yes,Cosmetics,4.4,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Africa, Latin America",1.29,2049,April
299,Biodegradable Foam,Bag,0.31,4020,1523.71,3,3,No,Clothing,4.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Asia, Africa",1.01,2049,May
300,Bubble Wrap,Box,2.0,4056,1972.47,6,4,Yes,"Toys, Clothing",4.2,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,UAE,1.33,2049,June
301,Plastic Mailer,Filler,1.47,214,1880.94,8,8,Yes,Books,4.0,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Australia,1.47,2049,July
302,Rigid Boxes,Envelope,0.2,1865,1488.28,4,5,No,"Cosmetics, Glassware",4.0,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,1.13,2049,August
303,Shrink Wrap,Bag,0.32,4658,2084.28,9,3,Yes,Books,4.4,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"UAE, Europe",1.39,2049,September
304,Honeycomb Paper,Envelope,0.11,4190,1169.5,6,8,Yes,"Books, Cosmetics",4.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"North America, Europe",0.79,2049,October
305,Padded Envelope,Bag,1.12,657,1628.99,3,6,Yes,Clothing,3.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Asia, North America",1.17,2049,November
306,Thermal Insulated Box,Wrap,1.17,3160,1806.83,11,7,Yes,Toys,3.9,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"UAE, Asia",1.28,2049,December
307,Thermal Insulated Box,Bag,1.59,4404,1542.01,3,10,Yes,"Accessories, Tools, Jewelry",3.1,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Australia,0.98,2050,January
308,Corrugated Cardboard,Filler,1.32,1064,1102.65,8,9,No,"Electronics, Books",4.4,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"North America, Asia",0.84,2050,February
309,Bubble Wrap,Box,1.11,3333,2148.46,4,3,Yes,"Books, Accessories, Toys",5.0,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"Latin America, Africa",1.46,2050,March
310,Padded Envelope,Filler,0.62,1223,1503.71,15,8,No,"Accessories, Clothing, Tools",3.4,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Africa,1.1,2050,April
311,Jiffy Bag,Box,0.91,4885,1460.38,7,3,Yes,"Food, Toys",3.5,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Africa,1.07,2050,May
312,Plastic Mailer,Box,0.68,1247,1687.89,10,5,Yes,"Cosmetics, Books",3.5,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,UAE,1.09,2050,June
313,Plastic Mailer,Wrap,1.24,4111,1465.07,3,8,No,"Glassware, Cosmetics",3.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Latin America,0.97,2050,July
314,Rigid Boxes,Wrap,1.58,4649,1569.07,8,5,No,"Toys, Jewelry, Accessories",3.3,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,North America,1.04,2050,August
315,Honeycomb Paper,Bag,0.1,719,1577.36,6,3,No,"Jewelry, Glassware",3.7,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Australia, Africa",1.0,2050,September
316,Plastic Mailer,Bag,0.76,2518,1300.28,11,3,No,"Clothing, Food",4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Asia,0.93,2050,October
317,Jiffy Bag,Box,0.42,3234,1594.69,10,6,No,Clothing,4.1,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,North America,1.07,2050,November
318,Thermal Insulated Box,Box,0.4,4895,986.91,9,4,No,"Cosmetics, Glassware, Toys",4.8,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Latin America, Australia",0.73,2050,December
319,Padded Envelope,Envelope,0.86,1902,2059.83,12,3,Yes,"Accessories, Tools",3.4,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Asia, North America",1.43,2051,January
320,Bubble Wrap,Box,0.12,4104,1046.56,15,7,No,Glassware,4.6,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Europe,0.76,2051,February
321,Biodegradable Foam,Filler,0.14,4381,1901.81,3,6,No,"Cosmetics, Toys",3.1,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Africa, Australia",1.35,2051,March
322,Bubble Wrap,Bag,0.18,1214,1626.08,11,8,No,Jewelry,4.2,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"UAE, Europe",1.1,2051,April
323,Stretch Film,Bag,0.87,2855,1306.68,6,9,No,"Glassware, Books",4.4,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Latin America, UAE",1.02,2051,May
324,Plastic Mailer,Bag,1.44,3030,2007.71,4,7,No,Jewelry,3.9,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Australia,1.19,2051,June
325,Corrugated Cardboard,Filler,1.95,1200,1267.4,4,5,Yes,"Accessories, Books",3.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Asia,1.01,2051,July
326,Shrink Wrap,Box,1.67,2915,931.62,13,6,No,"Food, Jewelry",3.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Africa, North America",0.76,2051,August
327,Padded Envelope,Box,0.94,3157,1276.57,2,3,Yes,"Toys, Tools",3.4,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Europe, UAE",0.82,2051,September
328,Plastic Mailer,Filler,0.54,2345,2062.77,3,4,No,Books,4.5,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Europe, Asia",1.37,2051,October
329,Thermal Insulated Box,Box,1.86,1301,1259.95,7,8,No,"Jewelry, Clothing, Toys",3.0,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Asia, UAE",0.85,2051,November
330,Honeycomb Paper,Bag,0.32,927,1423.57,9,5,No,"Food, Electronics, Books",4.2,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Australia,0.96,2051,December
331,Padded Envelope,Box,1.95,1295,1045.13,2,4,No,"Food, Accessories, Books",3.9,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"UAE, Australia",0.75,2052,January
332,Plastic Mailer,Box,0.18,3902,1765.34,15,7,No,"Accessories, Cosmetics, Books",4.9,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,UAE,1.39,2052,February
333,Padded Envelope,Filler,0.94,3847,1026.23,14,10,Yes,Accessories,4.1,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,UAE,0.73,2052,March
334,Honeycomb Paper,Bag,1.49,1114,1847.05,9,3,Yes,Books,4.4,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Europe, Africa",1.42,2052,April
335,Stretch Film,Filler,1.35,2328,1102.51,9,4,No,"Food, Accessories",4.0,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Asia, Africa",0.72,2052,May
336,Stretch Film,Filler,1.46,1814,1938.32,15,8,Yes,"Accessories, Toys",4.3,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Latin America,1.41,2052,June
337,Honeycomb Paper,Envelope,1.05,3210,1472.05,8,4,Yes,Books,4.9,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Africa,1.15,2052,July
338,Plastic Mailer,Wrap,1.57,971,1985.05,10,4,No,"Electronics, Clothing, Accessories",3.6,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Latin America,1.47,2052,August
339,Honeycomb Paper,Box,0.97,3544,1641.7,8,7,No,Accessories,3.0,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"UAE, Africa",1.13,2052,September
340,Kraft Paper,Bag,0.27,4870,1448.22,6,6,Yes,"Tools, Toys, Clothing",4.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,UAE,1.1,2052,October
341,Honeycomb Paper,Envelope,1.19,2793,1459.77,10,8,Yes,"Books, Accessories, Toys",3.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"UAE, Asia",1.14,2052,November
342,Thermal Insulated Box,Bag,1.09,4245,1029.04,9,9,No,Accessories,4.3,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Africa,0.72,2052,December
343,Thermal Insulated Box,Filler,0.99,4176,1886.8,5,8,Yes,"Glassware, Jewelry",3.6,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Latin America, Asia",1.32,2053,January
344,Rigid Boxes,Envelope,1.05,1338,1284.75,4,5,Yes,"Electronics, Tools",3.1,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Africa,0.97,2053,February
345,Honeycomb Paper,Wrap,1.35,1643,1435.86,11,7,Yes,Electronics,4.3,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,North America,1.08,2053,March
346,Honeycomb Paper,Wrap,0.64,996,1713.11,4,5,Yes,"Electronics, Glassware",3.8,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Africa,1.2,2053,April
347,Corrugated Cardboard,Filler,0.92,1510,918.75,15,5,No,Glassware,3.6,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Asia,0.77,2053,May
348,Jiffy Bag,Filler,1.14,2045,935.1,4,5,Yes,"Cosmetics, Toys, Accessories",4.2,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Europe,0.78,2053,June
349,Plastic Mailer,Box,1.71,236,1605.77,4,10,No,"Tools, Books, Cosmetics",4.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"North America, Latin America",1.24,2053,July
350,Padded Envelope,Envelope,1.01,3509,1843.34,6,8,No,"Accessories, Jewelry, Food",3.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,UAE,1.35,2053,August
351,Shrink Wrap,Box,0.87,2628,1208.42,13,7,Yes,Jewelry,3.8,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,North America,0.84,2053,September
352,Honeycomb Paper,Wrap,1.66,3840,2001.32,13,5,No,"Electronics, Clothing, Cosmetics",4.3,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Australia, Africa",1.25,2053,October
353,Stretch Film,Wrap,0.62,664,1545.18,12,8,Yes,Cosmetics,4.9,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"North America, Asia",1.02,2053,November
354,Kraft Paper,Envelope,1.69,4123,1537.65,8,9,No,Jewelry,3.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Australia, UAE",1.12,2053,December
355,Kraft Paper,Box,0.46,2872,1921.74,10,5,Yes,Glassware,3.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"Australia, Africa",1.38,2054,January
356,Honeycomb Paper,Box,0.51,1738,1744.92,8,9,Yes,"Accessories, Electronics, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Europe, North America",1.39,2054,February
357,Stretch Film,Envelope,0.56,3934,2061.1,6,8,No,Food,3.1,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,UAE,1.48,2054,March
358,Bubble Wrap,Bag,1.33,3342,1774.97,15,6,Yes,Jewelry,4.9,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Latin America,1.31,2054,April
359,Honeycomb Paper,Filler,0.24,163,2088.35,9,3,No,"Books, Electronics, Tools",4.0,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,Australia,1.45,2054,May
360,Plastic Mailer,Envelope,0.72,4580,1420.58,12,9,No,"Food, Clothing, Cosmetics",4.3,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,UAE,1.11,2054,June
361,Bubble Wrap,Bag,0.98,2048,1467.68,12,4,Yes,"Electronics, Jewelry",4.9,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"UAE, Europe",1.0,2054,July
362,Rigid Boxes,Bag,1.21,3595,2381.42,3,5,No,"Books, Food, Glassware",3.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"UAE, Asia",1.48,2054,August
363,Jiffy Bag,Filler,1.22,870,1807.85,11,6,Yes,"Food, Accessories",3.9,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Europe,1.31,2054,September
364,Stretch Film,Box,1.92,2146,1697.98,3,4,Yes,"Accessories, Glassware, Jewelry",3.4,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Australia,1.17,2054,October
365,Stretch Film,Wrap,0.3,1297,1208.12,6,7,No,"Accessories, Tools",4.2,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Africa,0.81,2054,November
366,Rigid Boxes,Wrap,0.27,3046,1285.67,11,7,Yes,Cosmetics,4.8,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Europe, Asia",0.96,2054,December
367,Honeycomb Paper,Envelope,1.61,2528,1155.45,2,3,No,Books,4.1,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,UAE,0.81,2055,January
368,Padded Envelope,Box,1.19,2268,1005.82,11,7,Yes,"Jewelry, Cosmetics, Electronics",5.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Europe,0.72,2055,February
369,Corrugated Cardboard,Envelope,0.11,947,1662.44,15,9,Yes,"Glassware, Cosmetics",4.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Asia, North America",1.18,2055,March
370,Corrugated Cardboard,Bag,1.71,3017,1403.23,10,5,Yes,"Food, Cosmetics",4.6,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, Europe",1.09,2055,April
371,Corrugated Cardboard,Filler,0.39,3122,1888.16,2,5,Yes,"Accessories, Cosmetics, Electronics",3.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Africa,1.35,2055,May
372,Thermal Insulated Box,Envelope,0.31,1562,2006.64,14,10,Yes,"Glassware, Electronics",3.7,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Europe,1.37,2055,June
373,Shrink Wrap,Bag,1.08,469,2300.66,3,3,No,"Food, Accessories, Cosmetics",4.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Africa,1.44,2055,July
374,Padded Envelope,Box,1.88,912,1819.58,2,8,Yes,"Electronics, Glassware, Tools",3.8,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"Africa, North America",1.19,2055,August
375,Corrugated Cardboard,Box,0.48,1297,2458.67,6,9,No,Electronics,4.0,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,UAE,1.45,2055,September
376,Kraft Paper,Envelope,1.27,288,953.23,14,9,No,"Food, Clothing, Tools",4.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, Asia",0.74,2055,October
377,Padded Envelope,Bag,0.32,4007,1653.45,10,9,No,"Tools, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,Latin America,1.09,2055,November
378,Honeycomb Paper,Wrap,0.46,4083,1818.62,14,8,Yes,"Cosmetics, Toys",3.2,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Australia, North America",1.28,2055,December
379,Thermal Insulated Box,Bag,0.56,3023,1887.82,14,6,No,"Clothing, Toys, Glassware",3.4,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Africa,1.11,2056,January
380,Jiffy Bag,Bag,1.86,1498,1013.13,5,4,Yes,"Glassware, Toys",3.3,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Africa, North America",0.79,2056,February
381,Corrugated Cardboard,Box,0.45,403,1188.59,8,7,Yes,Electronics,4.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Africa, UAE",0.93,2056,March
382,Plastic Mailer,Filler,0.23,3010,1023.04,8,9,Yes,"Food, Jewelry",4.4,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, Latin America",0.78,2056,April
383,Honeycomb Paper,Bag,0.8,424,1340.64,8,3,Yes,"Electronics, Tools",3.6,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Africa, Latin America",1.22,2056,May
384,Padded Envelope,Box,0.28,1937,1586.23,6,10,Yes,Clothing,4.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,UAE,1.2,2056,June
385,Bubble Wrap,Wrap,1.05,270,1766.34,3,4,Yes,"Accessories, Electronics, Toys",4.9,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,Asia,1.37,2056,July
386,Plastic Mailer,Box,1.92,2733,1600.3,15,5,No,"Electronics, Cosmetics",4.1,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"North America, Australia",1.13,2056,August
387,Biodegradable Foam,Filler,0.19,3910,1096.6,5,5,Yes,"Tools, Accessories",3.2,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Africa,0.76,2056,September
388,Honeycomb Paper,Filler,1.88,3036,1209.6,4,3,Yes,Accessories,4.5,https://dummyimage.com/600x400/000/fff&text=Honeycomb+Paper,"Asia, North America",0.73,2056,October
389,Stretch Film,Bag,0.86,1799,1161.14,2,8,Yes,Tools,3.4,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"UAE, North America",0.76,2056,November
390,Thermal Insulated Box,Envelope,0.14,4775,1143.81,11,4,Yes,Tools,3.8,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,Latin America,0.87,2056,December
391,Stretch Film,Wrap,1.51,2166,1346.06,8,7,No,"Tools, Clothing",4.8,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Europe,1.06,2057,January
392,Corrugated Cardboard,Bag,1.52,2711,1493.13,8,6,No,"Toys, Electronics, Clothing",4.6,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Europe,1.02,2057,February
393,Thermal Insulated Box,Filler,0.65,3685,1731.75,2,6,No,"Electronics, Books",3.6,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Australia, North America",1.43,2057,March
394,Plastic Mailer,Wrap,1.8,3288,1683.76,11,5,Yes,Cosmetics,3.4,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Africa,1.02,2057,April
395,Jiffy Bag,Wrap,1.89,4880,1185.43,9,3,Yes,"Clothing, Tools, Cosmetics",4.6,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Africa, North America",0.76,2057,May
396,Biodegradable Foam,Bag,1.38,429,1116.99,5,3,No,"Food, Jewelry, Clothing",4.8,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,UAE,0.84,2057,June
397,Corrugated Cardboard,Bag,1.03,2747,1225.57,8,8,No,Jewelry,3.9,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Europe,1.06,2057,July
398,Jiffy Bag,Envelope,0.56,2692,1948.46,4,7,No,"Cosmetics, Food",3.6,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Europe, North America",1.23,2057,August
399,Bubble Wrap,Bag,0.85,1233,1834.38,4,6,Yes,"Tools, Accessories, Toys",4.3,https://dummyimage.com/600x400/000/fff&text=Bubble+Wrap,"UAE, North America",1.33,2057,September
400,Biodegradable Foam,Envelope,0.67,2582,1489.52,2,4,Yes,Tools,4.8,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Asia,0.95,2057,October
401,Plastic Mailer,Wrap,0.61,210,1630.13,8,8,No,"Electronics, Clothing, Toys",4.0,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Latin America, Africa",1.39,2057,November
402,Plastic Mailer,Filler,1.65,3718,1573.91,6,6,Yes,Electronics,3.7,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Asia, North America",1.2,2057,December
403,Corrugated Cardboard,Bag,0.23,1805,1507.62,7,5,No,Tools,4.7,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Europe, Asia",1.08,2058,January
404,Kraft Paper,Wrap,0.56,4093,1261.59,15,4,No,"Accessories, Books, Cosmetics",3.5,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,UAE,0.9,2058,February
405,Jiffy Bag,Bag,0.6,3113,1958.66,8,8,Yes,"Electronics, Toys",4.3,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"UAE, Africa",1.47,2058,March
406,Stretch Film,Box,0.56,1685,1052.3,4,7,Yes,Toys,3.3,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,Australia,0.71,2058,April
407,Padded Envelope,Wrap,1.83,2856,1620.14,5,3,No,"Toys, Glassware",3.0,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,"North America, Europe",1.3,2058,May
408,Plastic Mailer,Filler,1.84,2899,1141.54,5,5,Yes,"Food, Electronics",3.8,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,"Latin America, Australia",0.83,2058,June
409,Stretch Film,Filler,1.51,375,1863.84,3,6,No,"Toys, Glassware, Accessories",4.1,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,North America,1.32,2058,July
410,Rigid Boxes,Box,1.76,3830,2009.78,15,4,No,"Books, Electronics, Clothing",4.6,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Europe,1.37,2058,August
411,Kraft Paper,Filler,0.53,3457,2077.36,2,4,No,"Toys, Accessories",3.2,https://dummyimage.com/600x400/000/fff&text=Kraft+Paper,"UAE, Asia",1.39,2058,September
412,Biodegradable Foam,Wrap,0.57,4640,1077.32,7,10,Yes,"Jewelry, Accessories, Clothing",3.3,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Latin America, Europe",0.87,2058,October
413,Plastic Mailer,Wrap,1.41,4305,1736.33,2,8,Yes,"Tools, Clothing, Books",3.4,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,Africa,1.47,2058,November
414,Biodegradable Foam,Box,0.31,1177,1652.15,8,6,Yes,Toys,3.7,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"UAE, Africa",1.05,2058,December
415,Rigid Boxes,Bag,0.59,3661,1902.89,8,6,No,"Cosmetics, Food",3.6,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,UAE,1.32,2059,January
416,Jiffy Bag,Envelope,1.59,741,1523.13,6,8,No,"Accessories, Books",3.7,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,Australia,1.18,2059,February
417,Shrink Wrap,Box,1.66,4776,2079.01,14,6,No,"Cosmetics, Accessories",3.3,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Africa, North America",1.29,2059,March
418,Biodegradable Foam,Box,1.88,2596,1538.38,11,6,No,"Food, Electronics, Glassware",3.9,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Australia,1.09,2059,April
419,Stretch Film,Box,0.85,1848,1778.12,4,3,No,"Electronics, Tools, Glassware",4.3,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,North America,1.14,2059,May
420,Corrugated Cardboard,Envelope,1.03,739,1137.76,4,9,No,"Glassware, Tools",3.5,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,Australia,0.81,2059,June
421,Rigid Boxes,Envelope,1.41,2330,1632.25,11,8,No,"Accessories, Jewelry",3.5,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,"Asia, Australia",0.97,2059,July
422,Stretch Film,Bag,0.22,1505,1672.93,5,6,Yes,"Clothing, Cosmetics, Toys",4.2,https://dummyimage.com/600x400/000/fff&text=Stretch+Film,"Africa, Australia",1.02,2059,August
423,Shrink Wrap,Filler,0.63,998,1918.28,12,5,No,"Glassware, Tools",3.7,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Latin America, UAE",1.41,2059,September
424,Padded Envelope,Box,1.56,4021,2143.08,3,8,No,Clothing,3.2,https://dummyimage.com/600x400/000/fff&text=Padded+Envelope,North America,1.4,2059,October
425,Thermal Insulated Box,Envelope,1.85,698,1351.59,9,9,Yes,"Toys, Books",3.1,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,North America,0.91,2059,November
426,Plastic Mailer,Envelope,1.17,2155,1903.4,6,3,No,"Clothing, Accessories, Toys",3.9,https://dummyimage.com/600x400/000/fff&text=Plastic+Mailer,UAE,1.2,2059,December
427,Shrink Wrap,Box,1.33,4028,1424.46,10,7,Yes,"Tools, Accessories, Jewelry",4.6,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,"Africa, UAE",1.13,2060,January
428,Biodegradable Foam,Bag,1.27,2949,1833.85,11,7,No,Glassware,4.5,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,"Australia, Latin America",1.23,2060,February
429,Biodegradable Foam,Filler,1.84,3050,1697.18,2,3,Yes,"Books, Jewelry",5.0,https://dummyimage.com/600x400/000/fff&text=Biodegradable+Foam,Europe,1.1,2060,March
430,Corrugated Cardboard,Bag,1.91,4686,908.37,2,10,Yes,"Electronics, Glassware, Tools",3.9,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Australia, UAE",0.79,2060,April
431,Jiffy Bag,Box,0.44,4330,1057.91,7,7,Yes,"Toys, Books",3.9,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,UAE,0.86,2060,May
432,Corrugated Cardboard,Filler,0.58,780,1310.62,11,9,No,"Clothing, Books",3.1,https://dummyimage.com/600x400/000/fff&text=Corrugated+Cardboard,"Africa, Europe",1.18,2060,June
433,Thermal Insulated Box,Bag,1.01,383,1276.17,5,7,No,"Tools, Glassware, Books",3.9,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,UAE,0.94,2060,July
434,Rigid Boxes,Envelope,0.41,3235,1928.97,14,5,Yes,"Books, Toys, Food",3.1,https://dummyimage.com/600x400/000/fff&text=Rigid+Boxes,Australia,1.29,2060,August
435,Thermal Insulated Box,Box,0.17,4631,1332.01,4,3,No,"Clothing, Books",3.5,https://dummyimage.com/600x400/000/fff&text=Thermal+Insulated+Box,"Europe, North America",0.83,2060,September
436,Jiffy Bag,Filler,1.74,4065,1405.55,10,7,Yes,"Books, Food, Clothing",4.2,https://dummyimage.com/600x400/000/fff&text=Jiffy+Bag,"Latin America, Africa",1.0,2060,October
437,Shrink Wrap,Wrap,1.15,2204,1297.95,12,4,No,Jewelry,3.0,https://dummyimage.com/600x400/000/fff&text=Shrink+Wrap,Africa,0.8,2060,November
